"timestamp","rate"
1541980800000,-0.257
1542758400000,-0.257
1543536000000,-0.251
1544486400000,-0.244
1545264000000,-0.238
1546473600000,-0.237
1547424000000,-0.236
1548201600000,-0.237
1548979200000,-0.235
1549929600000,-0.231
1550707200000,-0.231
1551657600000,-0.23
1552435200000,-0.232
1553212800000,-0.228
1554163200000,-0.23
1554940800000,-0.232
1556064000000,-0.231
1557100800000,-0.23
1557878400000,-0.235
1558656000000,-0.241
1559606400000,-0.254
1560384000000,-0.259
1561334400000,-0.308
1562112000000,-0.335
1562889600000,-0.342
1563840000000,-0.362
1564617600000,-0.363
1565568000000,-0.4
1566345600000,-0.424
1567123200000,-0.428
1568073600000,-0.414
1568851200000,-0.368
1569801600000,-0.386
1570579200000,-0.384
1571356800000,-0.351
1572307200000,-0.343
1573084800000,-0.334
1574035200000,-0.338
1574812800000,-0.342
1575590400000,-0.333
1576540800000,-0.342
1577664000000,-0.325
1578528000000,-0.333
1579478400000,-0.333
1580256000000,-0.336
1581033600000,-0.339
1581984000000,-0.358
1582761600000,-0.375
1583712000000,-0.421
1584489600000,-0.36
1585267200000,-0.281
1586217600000,-0.232
1587340800000,-0.185
1588118400000,-0.169
1589155200000,-0.147
1589932800000,-0.139
1590710400000,-0.158
1591660800000,-0.194
1592438400000,-0.228
1593388800000,-0.287
1594166400000,-0.322
1594944000000,-0.351
1595894400000,-0.379
1596672000000,-0.417
1597622400000,-0.433
1598400000000,-0.443
1599177600000,-0.451
1600128000000,-0.458
1600905600000,-0.472
1601856000000,-0.488
1602633600000,-0.493
1603411200000,-0.496
1604361600000,-0.513
1605139200000,-0.504
1606089600000,-0.509
1606867200000,-0.508
1607644800000,-0.52
1608595200000,-0.522
1609718400000,-0.532
1610496000000,-0.527
1611273600000,-0.525
1612224000000,-0.526
1613001600000,-0.521
1613952000000,-0.516
1614729600000,-0.517
1615507200000,-0.514
1616457600000,-0.518
1617235200000,-0.512
1618358400000,-0.509
1619136000000,-0.515
1620086400000,-0.516
1620864000000,-0.515
1621814400000,-0.509
1622592000000,-0.516
1623369600000,-0.521
1624320000000,-0.508
1625097600000,-0.513
1626048000000,-0.511
1626825600000,-0.513
1627603200000,-0.523
1628553600000,-0.528
1629331200000,-0.529
1630281600000,-0.529
1631059200000,-0.517
1631836800000,-0.526
1632787200000,-0.523
1633564800000,-0.526
1634515200000,-0.527
1635292800000,-0.536
1636070400000,-0.536
1637020800000,-0.53
1637798400000,-0.542
1638748800000,-0.543
1639526400000,-0.547
1640304000000,-0.544
1641254400000,-0.535
1642032000000,-0.534
1642982400000,-0.522
1643760000000,-0.502
1644537600000,-0.458
1645488000000,-0.49
1645747200000,-0.488
